Exp.Date:,Voyage N°:,Poids:,Montant HT:,filename,Depart,Arrivee,Depart_Lat,Depart_Lng,Arrivee_Lat,Arrivee_Lng,Distance,DistanceKM,Conso ( litre ),Cout total (euros)
2023-12-15,PARTRP000100992,"6000,00","350,00",SupplierPreInvoiceSPI00450803.pdf,FR-77185,FR-60300,48.832503849999995,2.6385437726009737,49.187443,2.6646124504641495,24.555844723984258,39.518703148096826,13.041172038871952,23.474109669969515
2023-12-15,PARTRP000101238,"769,91","260,00",SupplierPreInvoiceSPI00450803.pdf,FR-95500,FR-95130,48.9856537,2.464965445023627,48.99203465,2.224980229889613,10.922706335333164,17.578348213705073,5.800854910522674,10.441538838940813
2023-12-18,PARTRP000101276,"184,62","267,50",SupplierPreInvoiceSPI00450803.pdf,FR-95500,FR-77400,48.9856537,2.464965445023627,48.880409900000004,2.6912816843590246,12.611705776054288,20.296522573635208,6.697852449299619,12.056134408739315
2023-12-18,PARTRP000101277,"202,33","267,50",SupplierPreInvoiceSPI00450803.pdf,FR-95500,FR-91310,48.9856537,2.464965445023627,48.6318506,2.2683683768953906,26.042441044758412,41.9111420709715,13.830676883420596,24.895218390157073
2023-12-19,PARTRP000101305,"3160,00","350,00",SupplierPreInvoiceSPI00450803.pdf,FR-94200,FR-60300,48.81518259591346,2.3847723747596152,49.187443,2.6646124504641495,28.69853546822583,46.18570107043456,15.241281353243405,27.43430643583813
2023-12-19,PARTRP000101326,"292,37","256,80",SupplierPreInvoiceSPI00450803.pdf,FR-95500,FR-91420,48.9856537,2.464965445023627,48.702292549999996,2.337153198124697,20.4297470895242,32.87840918105487,10.849875029748107,19.529775053546594
2023-12-19,PARTRP000101328,"384,46","267,50",SupplierPreInvoiceSPI00450803.pdf,FR-95500,FR-94210,48.9856537,2.464965445023627,48.796991899999995,2.5122933804579173,13.213921401660206,21.265692268547838,7.017678448620787,12.631821207517417
2023-12-20,PARTRP000101365,"418,11","256,80",SupplierPreInvoiceSPI00450803.pdf,FR-95500,FR-92270,48.9856537,2.464965445023627,48.91626239568966,2.268998482758621,10.126037315622474,16.296236893523872,5.377758174862878,9.679964714753181
2023-12-20,PARTRP000101366,"367,05","267,50",SupplierPreInvoiceSPI00450803.pdf,FR-95500,FR-78320,48.9856537,2.464965445023627,48.736331,1.9536734339282797,28.986824140715644,46.649655562619316,15.394386335664375,27.709895404195876
2023-12-20,PARTRP000101353,"1674,51","374,50",SupplierPreInvoiceSPI00450803.pdf,FR-77170,FR-51100,48.697856099999996,2.6117961544767336,49.253407800000005,4.048339723136653,75.78728897841597,121.96751564452396,40.249280162692905,72.44870429284722
